"id","name","n","m","directed"
1,"1",46,212,FALSE
2,"2",46,212,FALSE
3,"3",46,212,FALSE
4,"4",46,212,FALSE
5,"5",46,212,FALSE
6,"6",46,212,FALSE
7,"7",46,212,FALSE
8,"8",46,212,FALSE
9,"9",46,212,FALSE
10,"10",46,212,FALSE
11,"11",46,212,FALSE
12,"12",46,212,FALSE
13,"13",46,212,FALSE
14,"14",46,212,FALSE
15,"15",46,212,FALSE
16,"16",46,212,FALSE
17,"17",46,212,FALSE
18,"18",46,212,FALSE
19,"19",46,212,FALSE
20,"20",46,212,FALSE
21,"21",46,212,FALSE
22,"22",46,212,FALSE
23,"23",46,212,FALSE
24,"24",46,212,FALSE
25,"25",46,212,FALSE
26,"26",46,212,FALSE
27,"27",46,212,FALSE
28,"28",46,212,FALSE
29,"29",46,212,FALSE
30,"30",46,212,FALSE
31,"31",46,212,FALSE
32,"32",46,212,FALSE
33,"33",46,212,FALSE
34,"34",46,212,FALSE
35,"35",46,212,FALSE
36,"36",46,212,FALSE
37,"37",46,212,FALSE
38,"38",46,212,FALSE
39,"39",46,212,FALSE
40,"40",46,212,FALSE
41,"41",46,212,FALSE
42,"42",46,212,FALSE
43,"43",46,212,FALSE
44,"44",46,212,FALSE
45,"45",46,212,FALSE
46,"46",46,212,FALSE
