"id","name","n","m","directed"
1,"1",35,170,FALSE
2,"2",35,170,FALSE
3,"3",35,170,FALSE
4,"4",35,170,FALSE
5,"5",35,170,FALSE
6,"6",35,170,FALSE
7,"7",35,170,FALSE
8,"8",35,170,FALSE
9,"9",35,170,FALSE
10,"10",35,170,FALSE
11,"11",35,170,FALSE
12,"12",35,170,FALSE
13,"13",35,170,FALSE
14,"14",35,170,FALSE
15,"15",35,170,FALSE
16,"16",35,170,FALSE
17,"17",35,170,FALSE
18,"18",35,170,FALSE
19,"19",35,170,FALSE
20,"20",35,170,FALSE
21,"21",35,170,FALSE
22,"22",35,170,FALSE
23,"23",35,170,FALSE
24,"24",35,170,FALSE
25,"25",35,170,FALSE
26,"26",35,170,FALSE
27,"27",35,170,FALSE
28,"28",35,170,FALSE
29,"29",35,170,FALSE
30,"30",35,170,FALSE
31,"31",35,170,FALSE
32,"32",35,170,FALSE
33,"33",35,170,FALSE
34,"34",35,170,FALSE
35,"35",35,170,FALSE
