"id","name","n","m","directed"
1,"1",27,110,FALSE
2,"2",27,110,FALSE
3,"3",27,110,FALSE
4,"4",27,110,FALSE
5,"5",27,110,FALSE
6,"6",27,110,FALSE
7,"7",27,110,FALSE
8,"8",27,110,FALSE
9,"9",27,110,FALSE
10,"10",27,110,FALSE
11,"11",27,110,FALSE
12,"12",27,110,FALSE
13,"13",27,110,FALSE
14,"14",27,110,FALSE
15,"15",27,110,FALSE
16,"16",27,110,FALSE
17,"17",27,110,FALSE
18,"18",27,110,FALSE
19,"19",27,110,FALSE
20,"20",27,110,FALSE
21,"21",27,110,FALSE
22,"22",27,110,FALSE
23,"23",27,110,FALSE
24,"24",27,110,FALSE
25,"25",27,110,FALSE
26,"26",27,110,FALSE
27,"27",27,110,FALSE
